size,i,dot_time,prod_time
600,1,4.99e-7,0.001368001
600,2,6.0e-7,0.0015988
600,3,5.0e-7,0.0025575
600,4,7.0e-7,0.0022323
600,5,4.0e-7,0.0021383
600,6,2.99e-7,0.055313501
600,7,4.0e-7,0.0023063
600,8,4.0e-7,0.0022219
600,9,4.0e-7,0.0025407
600,10,3.99e-7,0.002068501
900,1,5.0e-7,0.0053649
900,2,6.01e-7,0.0940134
900,3,6.0e-7,0.005369799
900,4,7.99e-7,0.004922501
900,5,5.01e-7,0.0050035
900,6,4.99e-7,0.003885401
900,7,6.0e-7,0.005323099
900,8,5.99e-7,0.005334401
900,9,5.01e-7,0.010508399
900,10,5.99e-7,0.003877701
1200,1,1.0e-6,0.0096162
1200,2,1.0e-6,0.0092559
1200,3,8.0e-7,0.009866899
1200,4,9.0e-7,0.0100486
1200,5,8.0e-7,0.010441499
1200,6,1.401e-6,0.009023499
1200,7,1.099e-6,0.010090201
1200,8,1.1e-6,0.009908101
1200,9,8.01e-7,0.0097585
1200,10,1.9e-6,0.0139344
1500,1,1.1e-6,0.0209425
1500,2,9.0e-7,0.0161142
1500,3,1.3e-6,0.0158616
1500,4,1.3e-6,0.023063
1500,5,1.0e-6,0.0209224
1500,6,1.1e-6,0.018312201
1500,7,1.299e-6,0.025381001
1500,8,2.4e-6,0.0224071
1500,9,1.2e-6,0.0162558
1500,10,1.199e-6,0.023203801
1800,1,1.301e-6,0.032255699
1800,2,1.1e-6,0.0331268
1800,3,1.3e-6,0.027750701
1800,4,1.3e-6,0.028451101
1800,5,1.399e-6,0.027077901
1800,6,1.299e-6,0.0269829
1800,7,1.1e-6,0.0281873
1800,8,1.2e-6,0.0276704
1800,9,1.0e-6,0.027549599
1800,10,1.301e-6,0.0286577
2100,1,1.3e-6,0.0425706
2100,2,1.401e-6,0.0421836
2100,3,1.301e-6,0.042399899
2100,4,1.199e-6,0.043067701
2100,5,1.399e-6,0.046116001
2100,6,1.5e-6,0.0426221
2100,7,1.3e-6,0.0418885
2100,8,1.599e-6,0.041587701
2100,9,1.699e-6,0.041732601
2100,10,1.299e-6,0.041747299
2400,1,1.8e-6,0.068456801
2400,2,1.4e-6,0.1398001
