size,i,naive,better,BLAS
50,0,0.000000,0.000000,0.000000
50,1,0.000000,0.000000,0.000000
50,2,0.000000,0.020000,0.000000
50,3,0.000000,0.000000,0.000000
50,4,0.000000,0.000000,0.000000
50,5,0.000000,0.000000,0.000000
50,6,0.000000,0.000000,0.000000
50,7,0.000000,0.000000,0.000000
50,8,0.000000,0.000000,0.000000
50,9,0.000000,0.010000,0.000000
80,0,0.000000,0.010000,0.000000
80,1,0.000000,0.010000,0.000000
80,2,0.000000,0.000000,0.000000
80,3,0.010000,0.000000,0.000000
80,4,0.010000,0.000000,0.000000
80,5,0.000000,0.010000,0.000000
80,6,0.000000,0.010000,0.000000
80,7,0.000000,0.000000,0.010000
80,8,0.000000,0.000000,0.000000
80,9,0.010000,0.000000,0.000000
110,0,0.010000,0.010000,0.000000
110,1,0.010000,0.010000,0.000000
110,2,0.010000,0.020000,0.020000
110,3,0.020000,0.010000,0.000000
110,4,0.000000,0.010000,0.010000
110,5,0.010000,0.010000,0.000000
110,6,0.010000,0.010000,0.000000
110,7,0.000000,0.010000,0.000000
110,8,0.010000,0.010000,0.000000
110,9,0.000000,0.010000,0.000000
140,0,0.020000,0.000000,0.010000
140,1,0.010000,0.020000,0.000000
140,2,0.020000,0.010000,0.010000
140,3,0.020000,0.010000,0.000000
140,4,0.030000,0.010000,0.000000
140,5,0.010000,0.020000,0.000000
140,6,0.010000,0.010000,0.000000
140,7,0.010000,0.010000,0.010000
140,8,0.020000,0.010000,0.000000
140,9,0.010000,0.010000,0.010000
170,0,0.030000,0.030000,0.000000
170,1,0.030000,0.020000,0.010000
170,2,0.030000,0.020000,0.000000
170,3,0.030000,0.020000,0.010000
170,4,0.020000,0.030000,0.000000
170,5,0.030000,0.020000,0.010000
170,6,0.020000,0.030000,0.000000
170,7,0.020000,0.030000,0.000000
170,8,0.030000,0.020000,0.000000
170,9,0.030000,0.020000,0.010000
200,0,0.050000,0.040000,0.010000
200,1,0.050000,0.050000,0.010000
200,2,0.050000,0.040000,0.010000
200,3,0.050000,0.050000,0.010000
200,4,0.060000,0.040000,0.010000
200,5,0.060000,0.040000,0.010000
200,6,0.040000,0.040000,0.010000
200,7,0.050000,0.040000,0.010000
200,8,0.040000,0.060000,0.000000
200,9,0.060000,0.050000,0.010000
230,0,0.080000,0.070000,0.010000
230,1,0.070000,0.060000,0.010000
230,2,0.090000,0.070000,0.010000
230,3,0.080000,0.070000,0.010000
230,4,0.080000,0.060000,0.020000
